mission,object_id,source_id_raw,label,period_d,dur_h,depth_ppm,impact,ror,prad_re,a_au,a_over_rstar,insol_earth,teq_k,teff_k,logg_cgs,radius_rsun,mass_msun,feh_dex,mes,snr,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec,epoch_bjd_raw,epoch_bjd,fpflag_sum
KEPLER,2994092,2994092,1,50.271927,6.073,574.5,0.205,NA,2.94,0.07015,NA,28.51,589.0,6520.0,4.375,1.215,0.8805000000000001,-0.06,NA,9.3,0.0,0.0,0.0,0.0,160.466,2454993.466,0.0
KEPLER,2998124,2998124,0,28.597880332,7.71925,85952.0,0.356,NA,74.25,0.07015,NA,250.21,1014.0,6590.0,3.787,2.474,0.8805000000000001,-0.06,NA,2526.2,0.0,1.0,0.0,0.0,152.9842901,2454985.9842901,1.0
KEPLER,3098194,3098194,0,30.476518853,10.2264,326630.0,0.6,NA,71.42,0.07015,NA,28.96,592.0,5527.0,4.315,1.073,0.8805000000000001,-0.06,NA,1347.9,0.0,1.0,0.0,0.0,136.972882,2454969.972882,1.0
KEPLER,4578594,4578594,0,252.1638623,23.92,103790.0,1.149,NA,50.74,0.07015,NA,0.81,242.0,5432.0,4.608,0.745,0.8805000000000001,-0.06,NA,864.5,0.0,1.0,0.0,0.0,191.470778,2455024.470778,1.0
KEPLER,4587448,4587448,0,2.23416013,2.12,1445.0,0.55,NA,5.2998296,0.07015,NA,2156.64,1038.0,5763.0,4.407,1.05252005,0.8805000000000001,-0.06,NA,24.6,1.0,0.0,0.0,0.0,131.7973,2454964.7973,1.0
KEPLER,4633434,4633434,0,22.271198511,4.58598,179040.0,0.775,NA,39.79,0.07015,NA,16.62,515.0,5068.0,4.556,0.73,0.8805000000000001,-0.06,NA,2141.3,0.0,1.0,0.0,0.0,134.7601462,2454967.7601462,1.0
KEPLER,4661634,4661634,0,73.894163515,9.48995,213900.0,0.27,NA,39.18,0.07015,NA,5.61,392.0,5442.0,4.469,0.841,0.8805000000000001,-0.06,NA,3902.3,0.0,1.0,0.0,0.0,159.9005068,2454992.9005068,1.0
KEPLER,4665989,4665989,0,1.124033822,5.5728,247560.0,0.719,NA,98.04,0.07015,NA,9953.28,2547.0,7141.0,4.208,1.563,0.8805000000000001,-0.06,NA,792.9,0.0,1.0,0.0,0.0,131.62878,2454964.62878,1.0
KEPLER,4671584,4671584,0,2.796661168,3.3781,2363.8,1.276,NA,47.68,0.07015,NA,1797.72,1661.0,6331.0,4.146,1.326,0.8805000000000001,-0.06,NA,251.4,0.0,1.0,1.0,0.0,134.032331,2454967.032331,2.0
KEPLER,4678171,4678171,0,15.288709179,5.00366,512470.0,0.372,NA,54.56,0.07015,NA,15.84,509.0,4464.0,4.577,0.719,0.8805000000000001,-0.06,NA,1758.7,0.0,1.0,0.0,0.0,132.8060911,2454965.8060911,1.0
KEPLER,4681152,4681152,0,1.83592242,5.9942,30746.0,1.189,NA,46.3,0.07015,NA,1195.13,1501.0,5930.0,4.472,0.976,0.8805000000000001,-0.06,NA,1378.9,0.0,1.0,0.0,0.0,132.077813,2454965.077813,1.0
KEPLER,4725292,4725292,0,1.15495063,2.31,1445.0,0.55,NA,5.2998296,0.07015,NA,340.77,1038.0,5763.0,4.407,1.05252005,0.8805000000000001,-0.06,NA,24.6,1.0,0.0,0.0,0.0,132.34528,2454965.34528,1.0
