mission,object_id,source_id_raw,label,period_d,dur_h,depth_ppm,impact,ror,prad_re,a_au,a_over_rstar,insol_earth,teq_k,teff_k,logg_cgs,radius_rsun,mass_msun,feh_dex,mes,snr,fpflag_nt,fpflag_ss,fpflag_co,fpflag_ec,epoch_bjd_raw,epoch_bjd
KEPLER,10797460,10797460,1,-0.4386148229375782,-0.3613350246533845,0.13970461192547048,-0.8785863443048609,0.0,-0.1188427187575034,0.0,0.0,-0.42433452314615466,-0.24649808682176313,-0.35994165130836725,0.2536640472401942,-0.3204737616920651,0.0,0.0,0.0,0.11613890866507563,0.0,-0.18747516443092982,0.0,0.0,1.3267360924194969,1.3267360924078564
KEPLER,10854555,10854555,1,-0.7809466860902491,-0.9759680530110605,0.1205756741352367,0.7189852716111537,0.0,-0.014174369779198876,0.0,0.0,1.4607592043049855,1.6324070283946974,0.7772108115983113,0.08490451463143459,0.09321204091640065,0.0,0.0,0.0,0.27292550301953455,0.0,-0.18747516443092982,0.0,0.0,1.3855472628825165,1.3855472628914438
KEPLER,10872983,10872983,1,-0.3596364436669145,0.4108478359924448,1.5195896683617738,0.24978856279257663,0.0,0.23147583700661772,0.0,0.0,-0.37628848630058825,-0.11776396799779686,0.8068241569865061,0.36423063757007224,-0.16403795398298168,0.0,0.0,0.0,1.059932721739956,0.0,-0.18747516443092982,0.0,0.0,1.3635993659115562,1.3635993659187915
KEPLER,10910878,10910878,1,-0.11505703927916196,-0.08906627256739026,6.71776373923106,-1.1491660414149607,0.0,0.6287883453732428,0.0,0.0,-0.5666160007793022,-0.8380620137985606,-1.1970122142813389,0.3584113433421872,-0.5951055130035678,0.0,0.0,0.0,3.9927643102527757,0.0,-0.18747516443092982,0.0,0.0,1.4983161796889568,1.4983161796973767
KEPLER,10984090,10984090,1,-0.7227499309683783,-0.515724426174081,-0.6020390798286341,-1.1520445488310256,0.0,-0.3538124817700236,0.0,0.0,0.4968950249855886,1.0193874149472388,0.3863146524741406,-0.0954936064331003,0.009779610138222594,0.0,0.0,0.0,0.5711274569878193,0.0,-0.18747516443092982,0.0,0.0,-0.7075900417996833,-0.7075900418031417
KEPLER,10526549,10526549,1,-0.44915916408992684,-0.20567201670401145,1.1688414650400474,-0.184866057033222,0.0,-0.07398485490965853,0.0,0.0,-0.5414835309873236,-0.6878722085039333,-1.5425012438102779,0.9287021776752378,-1.1235109079320285,0.0,0.0,0.0,1.6963018400021714,0.0,-0.18747516443092982,0.0,0.0,1.4780716251721335,1.4780716251659567
KEPLER,10583066,10583066,1,-0.6086749772111547,-1.0101195735429835,2.1243701655378047,-0.556193513705593,0.0,0.007186517767393892,0.0,0.0,-0.5229398438164853,-0.5989843645540518,-2.172278389065886,1.3069563024879731,-1.206943338710206,0.0,0.0,0.0,1.026116005310563,0.0,-0.18747516443092982,0.0,0.0,1.3859595754884593,1.3859595754883678
KEPLER,10601284,10601284,1,-0.6420971361258776,-0.3281740868993211,0.46902840492213516,-1.0340257447723649,0.0,-0.05689614487238441,0.0,0.0,-0.2536148634781195,0.13970426965013574,-0.8929818682958728,0.09654310308721503,-0.37957173349327455,0.0,0.0,0.0,0.8785521518004838,0.0,-0.18747516443092982,0.0,0.0,1.3973111664822302,1.3973111664820697
KEPLER,10662202,10662202,1,0.16069603179428668,-0.12642539447523987,0.5091226585304652,1.2802942177438077,0.0,0.02854740531398666,0.0,0.0,-0.5940352989037042,-1.052618878505171,-1.3490273872740721,0.4457007567605095,-0.6646325386520495,0.0,0.0,0.0,0.07002520444317595,0.0,-0.18747516443092982,0.0,0.0,1.382229952254867,1.3822299522445467
KEPLER,10682541,10682541,1,-0.6594424579505747,-0.7320016660067704,0.6277220728299145,0.7448918383557377,0.0,-0.007766103515221093,0.0,0.0,-0.25823380387232103,0.13357407351566117,-0.5889515223104067,0.7483040566106978,-0.5985818642859919,0.0,0.0,0.0,-0.11750385939254936,0.0,-0.18747516443092982,0.0,0.0,1.3937016921103225,1.3937016921207686
KEPLER,11460018,11460018,1,-0.6946379522708422,-0.4002507766407278,0.3462971400599952,-0.0783612826388211,0.0,-0.11029836373886628,0.0,0.0,-0.07501583490232898,0.42475838990320397,0.013186500582886672,0.8181355873453597,-0.6542034848047773,0.0,0.0,0.0,0.9154431151780034,0.0,-0.18747516443092982,0.0,0.0,1.4023002102294009,1.4023002102281208
KEPLER,11507101,11507101,1,0.9818348230726931,0.8794878311369967,0.3055907604423779,0.04829304366803423,0.0,0.0007782515034160142,0.0,0.0,-0.5942843594151562,-1.0556839765724084,-0.30861185263549634,-0.3166267870928564,0.058448528092159786,0.0,0.0,0.0,0.0823221922356827,0.0,-0.18747516443092982,0.0,0.0,1.4537149076925715,1.4537149077029365
KEPLER,10987985,10987985,1,-0.11778895810371837,-0.2208137820227233,0.9141970451764556,1.0010789983855133,0.0,0.06058873663387577,0.0,0.0,-0.5698764292928562,-0.8595177002692217,-1.2285997826954134,0.4398814625326193,-0.6715852412168978,0.0,0.0,0.0,0.03620848801378302,0.0,-0.18747516443092982,0.0,0.0,1.6507345547531664,1.6507345547457275
KEPLER,11018648,11018648,1,0.6991767118765468,0.5064154887516661,1.9592491745325067,-1.2383997713129722,0.0,0.11612704425501687,0.0,0.0,-0.6010316350890387,-1.1261812321188662,-0.10131843491813304,0.794858410433804,-0.7689230771247717,0.0,0.0,0.0,1.474956059737053,0.0,-0.18747516443092982,0.0,0.0,2.6380309744176906,2.6380309744224046
